Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Age_Group,Addicted_Score_Norm,Addiction_Level,Affects_Academic_Performance_Numeric
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8,19-21,0.9855499657710435,High,1
2,22,Male,Graduate,India,2.1,Twitter,No,7.5,8,Single,0,3,22-24,-2.166957864848674,Low,0
3,20,Female,Undergraduate,Usa,6.0,Tiktok,Yes,5.0,5,Complicated,4,9,19-21,1.616051531894987,High,1
4,18,Male,High School,Uk,3.0,Youtube,No,7.0,7,Single,1,4,16-18,-1.5364562987247306,Low,0
5,21,Male,Graduate,Canada,4.5,Facebook,Yes,6.0,6,In Relationship,2,7,19-21,0.3550483996471,Medium,1
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9,19-21,1.616051531894987,High,1
7,23,Male,Graduate,Germany,1.5,Linkedin,No,8.0,9,Single,0,2,22-24,-2.7974594309726175,Low,0
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,6,In Relationship,2,8,19-21,0.9855499657710435,High,1
9,18,Male,High School,Japan,4.0,Tiktok,No,6.5,7,Single,1,5,16-18,-0.9059547326007871,Low,0
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7.0,7,In Relationship,1,4,19-21,-1.5364562987247306,Low,0
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,Complicated,3,7,19-21,0.3550483996471,Medium,1
12,20,Female,Undergraduate,Spain,5.5,Tiktok,Yes,5.8,6,In Relationship,2,8,19-21,0.9855499657710435,High,1
13,22,Male,Graduate,Italy,2.8,Linkedin,No,7.2,8,Single,1,4,22-24,-1.5364562987247306,Low,0
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,Single,4,9,16-18,1.616051531894987,High,1
15,21,Male,Undergraduate,Russia,3.7,Youtube,No,6.8,7,In Relationship,2,5,19-21,-0.9059547326007871,Low,0
16,20,Female,Undergraduate,China,4.2,Tiktok,Yes,6.0,6,Complicated,3,7,19-21,0.3550483996471,Medium,1
